iter	MultiClass
0	1.745513359
1	1.551556767
2	1.467804063
3	1.417965811
4	1.389305889
5	1.348407067
6	1.329352658
7	1.314535813
8	1.300672509
9	1.285397194
10	1.273379319
11	1.254043024
12	1.239928212
13	1.229591746
14	1.219846985
15	1.209626893
16	1.197894073
17	1.187651588
18	1.177019983
19	1.1614524
20	1.152245013
21	1.146663113
22	1.142107058
23	1.136564079
24	1.127660815
25	1.120938885
26	1.114836696
27	1.108337659
28	1.09975797
29	1.091247934
30	1.08070283
31	1.070659988
32	1.064955752
33	1.060525121
34	1.054613234
35	1.051117166
36	1.045716108
37	1.039356746
38	1.03395348
39	1.029164616
40	1.025989895
41	1.017543283
42	1.00889847
43	1.002867205
44	0.9924184101
45	0.9845888223
46	0.9767678545
47	0.9734405889
48	0.9674454738
49	0.9638732671
50	0.9581200217
51	0.9526383524
52	0.9492444662
53	0.9431366653
54	0.9429689393
55	0.9391874166
56	0.9351998925
57	0.9325655577
58	0.9281231422
59	0.9243267108
60	0.9209250978
61	0.9154725607
62	0.9100992218
63	0.9063438598
64	0.9006312298
65	0.8967945552
66	0.8919923601
67	0.8887357123
68	0.88472498
69	0.8811533389
70	0.8748663515
71	0.8666012611
72	0.864060341
73	0.8618338287
74	0.8566494617
75	0.853804196
76	0.8486810705
77	0.8429790875
78	0.841522253
79	0.8396777931
80	0.836863966
81	0.8323170457
82	0.827529306
83	0.8227439487
84	0.8186346073
85	0.8129696383
86	0.8094879606
87	0.8062476033
88	0.8018609912
89	0.7980258625
90	0.7964052102
91	0.7920226596
92	0.7883801809
93	0.7851841644
94	0.7823494645
95	0.7779677207
96	0.7751878771
97	0.7709675472
98	0.7685906772
99	0.7669275866
