iter	Passed	Remaining
0	6	665
1	13	641
2	19	630
3	26	625
4	33	639
5	40	632
6	46	619
7	52	608
8	59	599
9	66	594
10	73	597
11	81	594
12	88	594
13	95	587
14	102	580
15	109	575
16	116	566
17	122	557
18	130	557
19	137	548
20	143	539
21	149	529
22	155	520
23	162	513
24	168	506
25	175	499
26	182	492
27	188	485
28	195	478
29	201	471
30	208	464
31	216	459
32	222	451
33	229	445
34	235	437
35	242	430
36	249	424
37	255	417
38	262	411
39	269	404
40	276	398
41	283	391
42	291	386
43	298	379
44	306	375
45	313	368
46	320	361
47	326	353
48	332	346
49	339	339
50	345	332
51	353	326
52	359	318
53	365	311
54	368	301
55	375	295
56	382	288
57	388	281
58	395	275
59	402	268
60	409	261
61	416	255
62	422	248
63	428	241
64	435	234
65	441	227
66	447	220
67	454	213
68	460	206
69	469	201
70	477	195
71	489	190
72	497	184
73	505	177
74	512	170
75	520	164
76	527	157
77	533	150
78	540	143
79	548	137
80	554	130
81	561	123
82	568	116
83	575	109
84	582	102
85	588	95
86	595	88
87	601	82
88	608	75
89	615	68
90	622	61
91	628	54
92	636	47
93	643	41
94	651	34
95	657	27
96	664	20
97	670	13
98	677	6
99	684	0
